player,recent_form,role,predicted_points,credits
MW Short,19.6,allrounder,22.28580384084783,7
AU Rashid,20.0,allrounder,22.275564913599982,7
AB Barath,20.0,batsman,22.275564913599982,7
MA Agarwal,20.0,batsman,22.275564913599982,7
T Kohler-Cadmore,20.0,batsman,22.275564913599982,7
TM Head,18.0,allrounder,22.245284970055828,7
N Jagadeesan,15.2,batsman,22.1708157324379,7
AA Jhunjhunwala,7.0,allrounder,22.042962028659222,7
Anirudh Singh,7.666666666666667,batsman,21.97580935764504,7
L Ablish,37.5,allrounder,21.908113103399863,7
M Jansen,35.4,allrounder,21.901504968310828,7
FA Allen,9.666666666666666,allrounder,21.841153229123805,7
MM Sharma,6.2,allrounder,21.81826248285191,7
AL Menaria,6.2,allrounder,21.81826248285191,7
Umran Malik,6.2,allrounder,21.81826248285191,7
SK Raina,6.2,allrounder,21.81826248285191,7
LE Plunkett,6.2,allrounder,21.81826248285191,7
Kuldeep Yadav,6.2,allrounder,21.81826248285191,7
Anureet Singh,6.2,allrounder,21.81826248285191,7
AS Roy,6.2,allrounder,21.81826248285191,7
GH Vihari,6.2,allrounder,21.81826248285191,7
N Burger,38.0,bowler,21.794619769119773,7
UT Khawaja,19.8,batsman,21.73831440588741,7
Priyansh Arya,28.4,batsman,21.605003954690563,7
M Vohra,13.4,batsman,21.56917283379322,7
LRPL Taylor,13.4,allrounder,21.56917283379322,7
RT Ponting,13.4,batsman,21.56917283379322,7
TM Dilshan,13.4,allrounder,21.56917283379322,7
R Dravid,13.4,batsman,21.56917283379322,7
BB McCullum,26.0,batsman,21.495747064709693,7
T Shamsi,19.75,allrounder,21.44352813852814,7
RW Price,24.763235825207655,bowler,21.424628300903706,7
MG Neser,24.763235825207655,bowler,21.424628300903706,7
A Dananjaya,24.763235825207655,allrounder,21.424628300903706,7
RR Bhatkal,24.763235825207655,allrounder,21.424628300903706,7
Tejas Baroka,24.763235825207655,bowler,21.424628300903706,7
LA Carseldine,24.763235825207655,allrounder,21.424628300903706,7
RA Tripathi,24.763235825207655,allrounder,21.424628300903706,7
P Prasanth,24.763235825207655,bowler,21.424628300903706,7
P Ray Barman,24.763235825207655,allrounder,21.424628300903706,7
Musheer Khan,24.763235825207655,allrounder,21.424628300903706,7
Monu Kumar,24.763235825207655,bowler,21.424628300903706,7
Mohit Rathee,24.763235825207655,allrounder,21.424628300903706,7
AA Noffke,24.763235825207655,allrounder,21.424628300903706,7
AA Kazi,24.763235825207655,bowler,21.424628300903706,7
Karim Janat,24.763235825207655,bowler,21.424628300903706,7
RS Gavaskar,24.763235825207655,allrounder,21.424628300903706,7
RR Bose,24.763235825207655,bowler,21.424628300903706,7
I Malhotra,24.763235825207655,allrounder,21.424628300903706,7
Harmeet Singh (2),24.763235825207655,bowler,21.424628300903706,7
Sunny Gupta,24.763235825207655,allrounder,21.424628300903706,7
AJ Hosein,24.763235825207655,allrounder,21.424628300903706,7
A Nel,24.763235825207655,bowler,21.424628300903706,7
LI Meriwala,24.763235825207655,bowler,21.424628300903706,7
LMP Simmons,24.763235825207655,allrounder,21.424628300903706,7
RA Shaikh,24.763235825207655,bowler,21.424628300903706,7
V Kaverappa,24.763235825207655,bowler,21.424628300903706,7
JE Root,24.763235825207655,allrounder,21.424628300903706,7
Abdur Razzak,24.763235825207655,allrounder,21.424628300903706,7
SS Mundhe,24.763235825207655,bowler,21.424628300903706,7
Jalaj S Saxena,24.763235825207655,bowler,21.424628300903706,7
Suryansh Shedge,24.763235825207655,allrounder,21.424628300903706,7
IC Porel,24.763235825207655,bowler,21.424628300903706,7
Gulbadin Naib,24.763235825207655,allrounder,21.424628300903706,7
GR Napier,24.763235825207655,allrounder,21.424628300903706,7
R Sanjay Yadav,24.763235825207655,allrounder,21.424628300903706,7
Arshad Khan (2),24.763235825207655,allrounder,21.424628300903706,7
SS Agarwal,24.763235825207655,bowler,21.424628300903706,7
DAJ Bracewell,24.763235825207655,allrounder,21.424628300903706,7
R Goyal,24.763235825207655,bowler,21.424628300903706,7
Gurnoor Brar,24.763235825207655,bowler,21.424628300903706,7
C Ganapathy,24.763235825207655,bowler,21.424628300903706,7
D Jansen,24.763235825207655,bowler,21.424628300903706,7
S Joseph,24.763235825207655,bowler,21.424628300903706,7
CJ Dala,24.763235825207655,bowler,21.424628300903706,7
CJ Green,24.763235825207655,bowler,21.424628300903706,7
B Chipli,24.763235825207655,allrounder,21.424628300903706,7
Aman Hakim Khan,24.763235825207655,allrounder,21.424628300903706,7
S Midhun,24.763235825207655,bowler,21.424628300903706,7
Y Gnaneswara Rao,24.763235825207655,allrounder,21.424628300903706,7
PWA Mulder,24.763235825207655,allrounder,21.424628300903706,7
MJ Suthar,24.763235825207655,allrounder,21.424628300903706,7
NJ Rimmington,24.763235825207655,allrounder,21.424628300903706,7
MB Parmar,24.763235825207655,bowler,21.424628300903706,7
M Tiwari,24.763235825207655,allrounder,21.424628300903706,7
Mashrafe Mortaza,24.763235825207655,allrounder,21.424628300903706,7
LJ Wright,17.0,allrounder,21.409193239889742,7
NV Ojha,17.0,batsman,21.409193239889742,7
MK Tiwary,17.0,allrounder,21.409193239889742,7
RK Singh,17.0,batsman,21.409193239889742,7
Bipul Sharma,17.0,allrounder,21.409193239889742,7
PV Tambe,15.8,allrounder,21.39554567815553,7
K Rabada,15.8,allrounder,21.39554567815553,7
AM Nayar,15.8,allrounder,21.39554567815553,7
I Sharma,15.8,allrounder,21.39554567815553,7
KK Ahmed,15.8,allrounder,21.39554567815553,7
